Language,Domain,Meaning,Form,Comments
Hixkaryana,Tense,c,no,
Hixkaryana,Tense,c,txowi,
Hixkaryana,Tense,rxyz,yaha,
Hixkaryana,Tense,rxyz,yatxhe,
Hixkaryana,Tense,rxyz,yano,
Hixkaryana,Tense,rxyz,tyatxowi,
Kayardild,Tense,abc,tha,
Kayardild,Tense,abc,tharri,
Kayardild,Tense,abc,tharra,
Kayardild,Tense,xyz,thu,
Kayardild,Tense,xyz,thuru,
Kayardild,Tense,xyz,nangku,
Kayardild,Tense,xyz,nangkuru,
Kayardild,Tense,r,thi,
Supyire,Tense,r,,
Supyire,Tense,ab,na,
Supyire,Tense,c,ni,
Supyire,Tense,x,si,
Supyire,Tense,x,se,
Supyire,Tense,x,si,
Supyire,Tense,x,caa,
Supyire,Tense,yz,seba,
Supyire,Tense,yz,siba,
Supyire,Tense,yz,siba,
Supyire,Tense,yz,caaba,
Supyire,Tense,yz,sebu,
Supyire,Tense,yz,sibu,
Supyire,Tense,yz,sibu,
Supyire,Tense,yz,caabu,
Tamil,Tense,abc,d,
Tamil,Tense,abc,nd,
Tamil,Tense,abc,in,
Tamil,Tense,abc,nd,
Tamil,Tense,abc,nj,
Tamil,Tense,abc,n,
Tamil,Tense,abc,nn,
Tamil,Tense,abc,tt,
Tamil,Tense,abc,tt,
Tamil,Tense,abc,tt,
Tamil,Tense,abc,tt,
Tamil,Tense,abc,cc,
Tamil,Tense,r,r,
Tamil,Tense,r,r,
Tamil,Tense,r,r,
Tamil,Tense,r,r,
Tamil,Tense,r,r,
Tamil,Tense,r,r,
Tamil,Tense,r,r,
Tamil,Tense,r,gr,
Tamil,Tense,r,kr,
Tamil,Tense,r,kkr,
Tamil,Tense,r,kkr,
Tamil,Tense,r,kkr,
Tamil,Tense,r,kkr,
Tamil,Tense,xyz,v,
Tamil,Tense,xyz,v,
Tamil,Tense,xyz,v,
Tamil,Tense,xyz,v,
Tamil,Tense,xyz,v,
Tamil,Tense,xyz,v,
Tamil,Tense,xyz,v,
Tamil,Tense,xyz,b,
Tamil,Tense,xyz,pp,
Tamil,Tense,xyz,pp,
Tamil,Tense,xyz,pp,
Tamil,Tense,xyz,pp,
Tamil,Tense,xyz,pp,
Greenlandic (West),Tense,abcr,,
Greenlandic (West),Tense,xyz,ssa,
Greenlandic (West),Tense,xyz,niar,
Greenlandic (West),Tense,xyz,jumaar,
Alamblak,Tense,a,me,
Alamblak,Tense,b,re,
Alamblak,Tense,c,,
Alamblak,Tense,c,f,
Alamblak,Tense,c,fe,
Alamblak,Tense,c,tawe,
Alamblak,Tense,r,,
Alamblak,Tense,xyz,rhw,
Alamblak,Tense,xyz,rah,
Isekiri,Tense,abcr,,
Isekiri,Tense,xyz,waa,
Isekiri,Tense,xyz,wa,
Imonda,Tense,abc,fna,
Imonda,Tense,abc,fan,
Imonda,Tense,abc,n,
Imonda,Tense,rxyz,f,
Imonda,Tense,rxyz,fa,
Imonda,Tense,xyz,fef,
Yukaghir (Kolyma),Tense,abcr,,
Yukaghir (Kolyma),Tense,xyz,t,
Yukaghir (Kolyma),Tense,xyz,te,
Mandarin,Tense,xyz,hui,
Mandarin,Tense,abcr,,
Korean,Tense,abcr,,
Korean,Tense,xyz,ket,
Koasati,Tense,a,ki,
Koasati,Tense,b,to,
Koasati,Tense,c,ti,
Koasati,Tense,r,sa,
Koasati,Tense,xyz,laho,
Seneca,Tense,abcr,wa,
Seneca,Tense,abcr,o,
Seneca,Tense,abcr,e,
Seneca,Tense,xyz,,
Seneca,Tense,xyz,e,
Seneca,Tense,xyz,e,
Rama,Tense,abc,u,
Rama,Tense,r,I,
Rama,Tense,xyz,ut,
Evenki,Tense,abc,chA,
Evenki,Tense,abc,ngki,
Evenki,Tense,cr,rA,
Evenki,Tense,r,dArA,
Evenki,Tense,x,dAnA,
Evenki,Tense,y,dA,
Evenki,Tense,xyz,dAngA,
Wolof,Tense,abc,naa,
Wolof,Tense,abc,nga,
Wolof,Tense,abc,na,
Wolof,Tense,abc,nau,
Wolof,Tense,abc,ngeen,
Wolof,Tense,abc,nanu,
Wolof,Tense,r,nge,
Wolof,Tense,r,nga,
Wolof,Tense,r,ngi,
Wolof,Tense,xyz,dinaa,
Wolof,Tense,xyz,dinga,
Wolof,Tense,xyz,dina,
Wolof,Tense,xyz,dinan,
Wolof,Tense,xyz,dingeen,
Wolof,Tense,xyz,dinan,
Indonesian,Tense,abcr,,
Indonesian,Tense,xy,akan,
Indonesian,Tense,z,bakal,
Zulu,Tense,a,a,
Zulu,Tense,bc,e,
Zulu,Tense,bc,ile,
Zulu,Tense,r,,
Zulu,Tense,x,zaku,
Zulu,Tense,x,za,
Zulu,Tense,yz,yaku,
Zulu,Tense,yz,ya,
Rapanui,Tense,abc,ko,
Rapanui,Tense,abc,I,
Rapanui,Tense,rxyz,he,
Rapanui,Tense,rxyz,e,
Rapanui,Tense,xyz,ka,
Rapanui,Tense,xyz,ki,
Kewa,Tense,a,su,
Kewa,Tense,a,si,
Kewa,Tense,a,sa,
Kewa,Tense,a,sipa,
Kewa,Tense,a,sipi,
Kewa,Tense,a,sima,
Kewa,Tense,a,simi,
Kewa,Tense,a,su,
Kewa,Tense,a,si,
Kewa,Tense,a,sa,
Kewa,Tense,a,sipa,
Kewa,Tense,a,sipi,
Kewa,Tense,a,sima,
Kewa,Tense,a,simi,
Kewa,Tense,abc,ru,
Kewa,Tense,abc,ri,
Kewa,Tense,abc,ria,
Kewa,Tense,abc,ripa,
Kewa,Tense,abc,ripi,
Kewa,Tense,abc,rima,
Kewa,Tense,abc,rimi,
Kewa,Tense,abc,wa,
Kewa,Tense,abc,e,
Kewa,Tense,abc,a,
Kewa,Tense,abc,pa,
Kewa,Tense,abc,pe,
Kewa,Tense,abc,ma,
Kewa,Tense,abc,me,
Kewa,Tense,r,to,
Kewa,Tense,r,te,
Kewa,Tense,r,ta,
Kewa,Tense,r,tepa,
Kewa,Tense,r,tepe,
Kewa,Tense,r,tema,
Kewa,Tense,r,teme,
Kewa,Tense,r,lo,
Kewa,Tense,r,e,
Kewa,Tense,r,la,
Kewa,Tense,r,lepa,
Kewa,Tense,r,lepe,
Kewa,Tense,r,lema,
Kewa,Tense,r,leme,
Kewa,Tense,xyz,lua,
Kewa,Tense,xyz,li,
Kewa,Tense,xyz,lia,
Kewa,Tense,xyz,lipa,
Kewa,Tense,xyz,lipi,
Kewa,Tense,xyz,lima,
Kewa,Tense,xyz,limi,
Khoekhoe,Tense,a,ke,
Khoekhoe,Tense,bc,ko,
Khoekhoe,Tense,r,,
Khoekhoe,Tense,xyz,nii,
Sesotho,Tense,ab,ilekea,
Sesotho,Tense,ab,ileua,
Sesotho,Tense,ab,ileoa,
Sesotho,Tense,ab,ilerea,
Sesotho,Tense,ab,ilelea,
Sesotho,Tense,ab,ilebaa,
Sesotho,Tense,c,ile,
Sesotho,Tense,c,itse,
Sesotho,Tense,c,tse,
Sesotho,Tense,r,kea,
Sesotho,Tense,r,ke,
Sesotho,Tense,r,ua,
Sesotho,Tense,r,u,
Sesotho,Tense,r,oa,
Sesotho,Tense,r,o,
Sesotho,Tense,r,rea,
Sesotho,Tense,r,re,
Sesotho,Tense,r,lea,
Sesotho,Tense,r,le,
Sesotho,Tense,r,baa,
Sesotho,Tense,r,ba,
Sesotho,Tense,xyz,ketla,
Sesotho,Tense,xyz,utla,
Sesotho,Tense,xyz,otla,
Sesotho,Tense,xyz,retla,
Sesotho,Tense,xyz,letla,
Sesotho,Tense,xyz,batla,
Kikuyu,Tense,a,raire,
Kikuyu,Tense,a,aire,
Kikuyu,Tense,b,ire,
Kikuyu,Tense,c,aa,
Kikuyu,Tense,r,raa,
Kikuyu,Tense,x,kua,
Kikuyu,Tense,y,ria,
Kikuyu,Tense,z,kaa,
Japanese,Tense,rxyz,,
Japanese,Tense,abc,ta,
Japanese,Tense,abc,tta,
Japanese,Tense,abc,nda,
Japanese,Tense,abc,ita,
Japanese,Tense,abc,ida,
Japanese,Tense,abc,shita,
Japanese,Tense,abc,anakatta,
Japanese,Tense,abc,nakatta,
