Language,Family,Source,A,H,HQ,I,IA,IAHQ,IH,Q,S,SIAHQ,V,VS,VSI,<NA>
Kinyarwanda,Atlantic-Congo,Aikhenvald2004,,,,,,,,,,,,,,
Kiowa,Kiowa-Tanoan,Aikhenvald2004,,,,,,,,,,,,,,
Koasati,Muskogean,Aikhenvald2004,,,,,,,,,,,,,,
Kombai,Nuclear Trans New Guinea,Aikhenvald2004,,,,,,,,,,,,,,
Komi,Uralic,Aikhenvald2004,,,,,,b,,,,,,a,,
Komi Zyryan,Uralic,Aikhenvald2004,,,,,,,,,,,,,,
Korean,Koreanic,Aikhenvald2004,,,,,,,,,,,,,,
Koreguaje,Tucanoan,Aikhenvald2004,,,c,,b,,,,,,,a,,
Kunama,Kunama,Aikhenvald2004,,,,,,,,,,,,,,
Kuot,Kuot,Aikhenvald2004,,,,,,,,,,,,,,
Kurdish,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Kwakiutl,Wakashan,Aikhenvald2004,b,c,,,,,,d,,,,,a,
Kwaza,Kwaza,Aikhenvald2004,,,,,,,,,,,,,,
Kypchak,Turkic,Aikhenvald2004,,,,,,,,,,,,,,
Ladakhi,Sino-Tibetan,Aikhenvald2004,,,d,,c,,,,b,,a,,,
Lak,Nakh-Daghestanian,Aikhenvald2004,,,,,,,,,,,,,,
Lakhota,Siouan,Aikhenvald2004,,,,,,,,,,,,,,
Latunde/Lakonde,Nambiquaran,Aikhenvald2004,,,,,,,,,,,,,,
Latvian,Indo-European,Aikhenvald2004,,,a,,,,,,,,,,,
Laz,Kartvelian,Aikhenvald2004,,,,,,,,,,,,,,
Lega,Atlantic-Congo,Aikhenvald2004,,,,,,,,,,,,,,
Lezgian,Nakh-Daghestanian,Aikhenvald2004,,,a,,,,,,,,,,,
Lhasa Tibetan,Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
Lillooet,Salishan,Aikhenvald2004,c,,b,a,,,,,,,,,,
Lisu,Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
Lithuanian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Livonian,Uralic,Aikhenvald2004,,,a,,,,,,,,,,,
Luvian,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,
Macedonian,Indo-European,Aikhenvald2004,,,,,,a,,,,,,b,,
Macuna,Tucanoan,Aikhenvald2004,,,d,,c,,,,b,,a,,,
Madi,Arawan,Aikhenvald2004,,,,,,,,,,,,,,
Mah Meri,Austroasiatic,Aikhenvald2004,,,,,,,,,,,,,,
Maidu,Maiduan,Aikhenvald2004,,,c,,b,,,,,,,a,,
Makah,Wakashan,Aikhenvald2004,,,,,,,,,,,,,,
Malagasy,Austronesian,Aikhenvald2004,,,,,,,,,,,,,,
Mamainde,Nambiquaran,Aikhenvald2004,c,,d,b,,,,,,,a,,,
Manambu,Ndu,Aikhenvald2004,,,,,,,,,,,,,,
Mangap-Mbula,Austronesian,Aikhenvald2004,,,,,,b,,,,,,a,,
Mangarayi,Pama-Nyungan,Aikhenvald2004,,,,,,,,,,,,,,
Mansi,Uralic,Aikhenvald2004,,,,,,,,,,a,,,,
Mao Naga,Sino-Tibetan,Aikhenvald2004,,,,,,,,,,,,,,
Mapuche,Mapuche,Aikhenvald2004,,,,,,,,,,,,,,
