"Language_ID","Feature","Value"
"yso1","PAUC3",0
"yso1","PAUC4",0
"yso1","GPAUC",0
"yso1","PL2",0
"yso1","PL3",0
"yso1","PL6",1
"yso1","PL8",0
"yun1","BARE",0
"yun1","SG",1
"yun1","DU",0
"yun1","TR",0
"yun1","PAUC2",1
"yun1","PAUC3",0
"yun1","PAUC4",0
"yun1","GPAUC",0
"yun1","PL2",0
"yun1","PL3",0
"yun1","PL6",1
"yun1","PL8",0
