Language,Family,Source,Page,A,H,HQ,I,IA,IAHQ,IH,Q,S,SIAHQ,V,VS,VSI,<NA>,Comment
Southeastern Tepehuan,Uto-Aztecan,Aikhenvald2004,58,,c,,,b,,,d,,,,a,,,
Southern Nambiquera,Nambiquaran,Aikhenvald2004,61,c,,d,b,,,,,,,a,,,,
Spanish,Indo-European,Aikhenvald2004,,,,,,,,,,,,,,,,
Surui,Tuplan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Svan,Kartvelian,Aikhenvald2004,76,,,,,,,,,,a,,,,,
Tajik,Indo-European,Aikhenvald2004,289,,,,,,,,,,,,a,,,
Takelma,Takelma,Aikhenvald2004,41,,,,,,a,,,,,,,,,
Tarascan,Tarascan,Aikhenvald2004,41-42,,,,,,a,,,,,,,,,
Tariana,Arawakan,Aikhenvald2004,1-3;52,d,,e,c,,,,,b,,a,,,,
Tatuyo,Tucanoan,Aikhenvald2004,51,,,d,,c,,,,b,,a,,,,
Tauya,Nuclear Trans New Guinea,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Terena,Arawakan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Thompson,Salishan,Aikhenvald2004,59,c,,d,b,,,,,,,,a,,,
Tibetan,Sino-Tibetan,Aikhenvald2004,28,,,,,,a,,,,,,b,,,
Tonkawa,Tonkawa,Aikhenvald2004,51,,a,,,,,,b,,,,,,,
Tsafiki,Barbacoan,Aikhenvald2004,54,c,,d,b,,,,,,,a,,,,
Tsez,Nakh-Daghestanian,Aikhenvald2004,28,,,,,,b,,,,,,a,,,
Tucano,Tucanoan,Aikhenvald2004,51-53,,,d,,c,,,,b,,a,,,,
Turkish,Turkic,Aikhenvald2004,155,,,,,,,,,,a,,,,,
Turkmen,Turkic,Aikhenvald2004,40,,,,,,b,,,,,,a,,,
Tuvaluan,Austronesian,Aikhenvald2004,359,,,,,,,,,,,,,,,
Tuyuca,Tucanoan,Aikhenvald2004,60,d,,e,c,,,,,b,,a,,,,
Ubykh,Abkhaz-Adyge,Aikhenvald2004,293,,,,,,,,,,,,,,,
Udmurt,Uralic,Aikhenvald2004,28,,,,,,b,,,,,,a,,,
Uyghur,Turkic,Aikhenvald2004,40,,,,,,b,,,,,,a,,,
Uzbek,Turkic,Aikhenvald2004,40,,,,,,b,,,,,,a,,,
Vlach Romani,Indo-European,Aikhenvald2004,38,,,,,,,,,,,,,,,
Warlpiri,Pama-Nyungan,Aikhenvald2004,62,,,a,,,,,,,,,,,,
Wasco-Wishram,Chinookan,Aikhenvald2004,39,,,,,,,,,,,,,,,
Washo,Washo,Aikhenvald2004,46,,,,,c,,,,b,,a,,,,
Waura,Arawakan,Aikhenvald2004,32,,,a,,,,,,,,,,,,
Weyewa,Austronesian,Aikhenvald2004,359,,,,,,,,,,,,,,,
Wichita,Caddoan,Aikhenvald2004,59-60,,,d,c,,,,,b,,a,,,,
Wintu,Wintuan,Aikhenvald2004,60,d,,e,c,,,,,b,,a,,,,
Xakas,Turkic,Aikhenvald2004,30,,,,,,,,,,a,,,,,
Xamatauteri,Yanomamic,Aikhenvald2004,18;56,c,,d,b,,,,,,,a,,,,
Yanam,Yanomamic,Aikhenvald2004,18,,,,,,b,,,,,,a,,,
Yankunytjatjara,Pama-Nyungan,Aikhenvald2004,33,,,a,,,,,,,,,,,,
Yuhup,Naduhup,Aikhenvald2004,292,d,,e,c,,,,,b,,a,,,,
Yukaghir,Yukaghir,Aikhenvald2004,24;27,,,,,,b,,,,,,a,,,
Zazaki,Indo-European,Aikhenvald2004,38-39,,,,,,,,,,,,,,,
